storeno	city	zip
2262	NORCROSS	30092
2263	VALENCIA	91355
2264	VENICE	34293
2266	DALE CITY	22192
2267	ROSWELL	30076
2268	WALDORF	20603
2270	SAN PEDRO	90732
2271	FRANKFORT	60423
2274	NORTHPORT	35476
2277	LAS VEGAS	89149
2278	COVINGTON	98042
2280	WELLINGTON	33414
2281	LOS ALAMITOS	90720
2282	LEESBURG	20176
2283	WILSONVILLE	97070
2285	LAS VEGAS	89102
2286	MOBILE	36608
2289	LYNNWOOD	98036
2290	BATON ROUGE	70815
2291	CHANTILLY	20151
2292	SACRAMENTO	95819
2293	HOOVER	35244
2294	MIAMI BEACH	33139
2295	ALTAMONTE SPRINGS	32714
2296	ATLANTA	30307
2299	EMERYVILLE	94608
2301	MOBILE	36604
2302	WEST CHESTER	45069
2303	LOS ANGELES	90036
2304	ESCONDIDO	92027
2307	MILFORD	45150
2310	PALMDALE	93551
2311	ALPHARETTA	30004
2313	ADDISON	75001
2314	ALGONQUIN	60102
2316	MURFREESBORO	37129
2317	BARBOURSVILLE	25504
2324	CORONA	92879
2325	BURLESON	76028
2326	JOHNS CREEK	30097
2327	PALM SPRINGS	92264
2328	DESTIN	32541
2330	MARRERO	70072
2332	UPLAND	91784
2333	HURST	76053
2334	WILLIAMSBURG	23188
2335	WEST DES MOINES	50266
2336	MACHESNEY PARK	61115
2338	LOUISVILLE	40220
2340	RICHMOND	23225
2341	ALTON	62002
2346	GEORGETOWN	78628
2349	COLUMBIA	29205
2350	SAN ANTONIO	78223
2354	SAN ANTONIO	78245
2355	NAPLES	34108
2356	ONTARIO	91761
2358	SAN JOSE	95110
2360	MIAMI	33156
2361	SPARTANBURG	29307
2362	SEBRING	33870
2363	LAKELAND	33803
2367	ANTIOCH	94531
2370	CLERMONT	34711
2371	MURRIETA	92562
2373	DELAND	32720
2378	MONTGOMERY	36107
2379	SUMMERFIELD	34491
2380	OLDSMAR	34677
2381	SUWANEE	30024
2383	FORT LAUDERDALE	33316
2384	NEW ALBANY	47150
2386	GARLAND	75040
2387	CYPRESS	77429
2390	PINELLAS PARK	33781
2391	TULSA	74104
2394	AURORA	60506
2395	DAYTON	45414
2396	MISSOURI CITY	77459
2397	LITHIA SPRINGS	30122
2399	RANCHO CUCAMONGA	91739
2418	ARLINGTON HEIGHTS	60004
2428	GREENWOOD	46142
2436	GLEN BURNIE	21060
2459	UNION	07083
2471	NANUET	10954
2479	SPRINGDALE	45246
2490	SPRINGFIELD	19064
2495	WEBSTER	77598
